,Toponym Variant,Authority Name,MoEML @xml:id,Agas Map,All Variants (alternate names and variant spellings),Location category
5389,"St. Anthony’s Hospital, near French Church",St. Anthony,STAN10,Agas Map,"church of S. Anthonies Hoſpitall | church of S. Anthonine | church of S. Anthonines | Free ſchoole of S. Anthonies | Hoſpitall of S. Anthony | hoſpitall of S. Anthony | S. Anthonie | S. Anthonies | S. Anthonies hoſpital | S. Anthonies Hoſpitall | S. Anthonies ſchoole | S. Anthonines | S. Anthonines church | S. Anthonines Churchyard | S. Anthonins Church | Saint Anthonines church | St. Anthony | St. Anthony Church | St. Anthony’s | St. Anthony’s Hospital, near French Church",Churches
5390,St. Audoen,St. Audoen,AUDO1, ,Church of S. Ewin | Church of S. Ewine | S. Ewin | S. Ewines in Newgate market | St. Audoen,Churches
5391,St. Augustine Papey,St. Augustine Papey,STAU2,Agas Map,"chappell of Saint Auguſtine | Church of S. Auguſtine | church of S. Auguſtine | Church of S. Auguſtine Papey in the Wall | fraternity of the brothers in St. Augustine Papey | fraternity of the brothers of St. Augustine Papey | Papie Chappell | Pappey | Papye | Pariſh church of S. Auſtine in the wall | pariſh of S. Auguſtine | S. Auguſtin in the wall | S. Auguſtine in the wall | S. Auguſtine Papie | S. Auguſtine, Papey | S. Auguſtines Church | S. Auguſtines Papey | Saint Auguſtines Church in the wall | Sci augustini pappey | St Augustine Papey | St. Augustine Papey | St. Augustine’s Papey",Churches
5392,"St. Augustine, Old Change",St. Augustine (Watling Street),STAU3,Agas Map,"church of S. Auguſtine | church of S. Auguſtine, | church of Saint Auguſtine | pariſh church of S. Auguſtine | S. Auguſtine | S. Auguſtins Church | S. Auſtins church | ſaint Auguſtines church | St. Augustine, Old Change | St. Augustine, Watling Street",Churches
5393,"St. Augustine, Old Change parish","St. Augustine, Old Change (Parish)",STAU103, ,"Auſtines Pariſh | Awstens perryshe | St. Augustine, Old Change parish",Parishes
5394,"St. Augustine, Watling Street",St. Augustine (Watling Street),STAU3,Agas Map,"church of S. Auguſtine | church of S. Auguſtine, | church of Saint Auguſtine | pariſh church of S. Auguſtine | S. Auguſtine | S. Auguſtins Church | S. Auſtins church | ſaint Auguſtines church | St. Augustine, Old Change | St. Augustine, Watling Street",Churches
5395,St. Augustine’s Papey,St. Augustine Papey,STAU2,Agas Map,"chappell of Saint Auguſtine | Church of S. Auguſtine | church of S. Auguſtine | Church of S. Auguſtine Papey in the Wall | fraternity of the brothers in St. Augustine Papey | fraternity of the brothers of St. Augustine Papey | Papie Chappell | Pappey | Papye | Pariſh church of S. Auſtine in the wall | pariſh of S. Auguſtine | S. Auguſtin in the wall | S. Auguſtine in the wall | S. Auguſtine Papie | S. Auguſtine, Papey | S. Auguſtines Church | S. Auguſtines Papey | Saint Auguſtines Church in the wall | Sci augustini pappey | St Augustine Papey | St. Augustine Papey | St. Augustine’s Papey",Churches
5396,St. Austin Friars,Austin Friars,AUST1,Agas Map,"Auguſtine Friers | Auguſtine Fryars | Auguſtine Fryers church | Auguſtine Fryers Church | Austen Friars, Near Dutch Church | Austin Friars | Austin friars | Austin Friary | Church of Austin Friars | Dutch Church | Dutch church | Frier Augu ſtines Church | Friers Auguſtines church | Friers Auguſtins | Friers church | Fryers Auguſtines church | Fryers church | Monastery of the Augustine Friars | Priory of Augustine Friars | S Augusti | St. Austin Friars | St. Austin priory | St. Austins Priory",Sites
5397,St. Austin priory,Austin Friars,AUST1,Agas Map,"Auguſtine Friers | Auguſtine Fryars | Auguſtine Fryers church | Auguſtine Fryers Church | Austen Friars, Near Dutch Church | Austin Friars | Austin friars | Austin Friary | Church of Austin Friars | Dutch Church | Dutch church | Frier Augu ſtines Church | Friers Auguſtines church | Friers Auguſtins | Friers church | Fryers Auguſtines church | Fryers church | Monastery of the Augustine Friars | Priory of Augustine Friars | S Augusti | St. Austin Friars | St. Austin priory | St. Austins Priory",Sites
5398,St. Austins Priory,Austin Friars,AUST1,Agas Map,"Auguſtine Friers | Auguſtine Fryars | Auguſtine Fryers church | Auguſtine Fryers Church | Austen Friars, Near Dutch Church | Austin Friars | Austin friars | Austin Friary | Church of Austin Friars | Dutch Church | Dutch church | Frier Augu ſtines Church | Friers Auguſtines church | Friers Auguſtins | Friers church | Fryers Auguſtines church | Fryers church | Monastery of the Augustine Friars | Priory of Augustine Friars | S Augusti | St. Austin Friars | St. Austin priory | St. Austins Priory",Sites
5399,St. Bartholomew,St. Bartholomew by the Exchange,STBA3,Agas Map,church of S. Bartilmew with the Hoſpitall | Church of Saint Bartilmew | S. Bartholmews church | S. Bartilmew | S. Bartilmew by the Exchaunge | St. Bartholomew | St. Bartholomew by the Exchange | St. Batholomew by the Exchange,Churches
5400,St. Bartholomew by the Exchange,St. Bartholomew by the Exchange,STBA3,Agas Map,church of S. Bartilmew with the Hoſpitall | Church of Saint Bartilmew | S. Bartholmews church | S. Bartilmew | S. Bartilmew by the Exchaunge | St. Bartholomew | St. Bartholomew by the Exchange | St. Batholomew by the Exchange,Churches
5401,St. Bartholomew the Great,St. Bartholomew the Great,STBA1,Agas Map,Great St. Bartholomew’s Church | greate S. Bartilmewes | Priorie of S. Bartholomewe | priorie of Saint Bartholomewe | Priorie of Saint Bartlemew | Priory of S. Bartholomew | S. Bartholmewes | S. Bartilmewes Pryorie | S. Bartilmews | S. Bartlemew | S. Bartlemew by the Priorie | Saint Bartholmewes | ſaint Bartholomew | St Bartholomew’s Church | St. Bartholomew the Great,Churches
5402,St. Bartholomew the Great parish,St. Bartholomew the Great (Parish),STBA101, ,Barthelmew the great Smit | Barthimewe the greate | St. Bartholomew the Great parish | This Priorie of S. Bartlemew,Parishes
5403,St. Bartholomew the Less,St. Bartholomew the Less,STBA4,Agas Map,Little St. Bartholomew’s Church and St. Bartholomew’s Hospital | S. Bartlemew the Hoſpitall | St. Bartholomew the Less,Churches
5404,St. Bartholomew the Less Lane,Bartholomew Lane,BART1,Agas Map,bar eelmew la | Barthlemew lane | Bartholemew lane | Bartholomew Lane | Bartholomew lane | Bartlemew Lane | S. Bartilmew lane | St. Bartholomew the Less Lane,Streets
5405,St. Bartholomew the Less parish,St. Bartholomew the Less (Parish),STBA104, ,Barthelmew the leſſe Smithf | Barthilmewe the Lesse | St. Bartholomew the Less parish,Parishes
5406,St. Bartholomew’s Hospital,St. Bartholomew’s Hospital,STBA2,Agas Map,Hoſpitall of Bartilmew | Hoſpitall of S. Bartholomew | Hoſpitall of S. Bartholomewe | Hoſpitall of S. Bartilmew | Hoſpitall of S. Bartlemewe | hoſpitall of ſaint Bartholomew | Hoſpitall of Saint Bartholomewe | Hoſpitall of Saint Bartilmew | Hoſpitall of Saint Bartlemew | Little St. Bartholomew’s Church and St. Bartholomew’s Hospital | S. Bartelmewes Hoſpitall | S. Bartholomewes Spittle | S. Bartholomewes ſpittle | S. Bartilmew | S. Bartilmewes Hoſpital | S. Bartilmewes Hoſpitall | Saint Bartholomewes Spittle | Saint Bartilmewes | St. Bartholomew’s Hospital,Sites
5407,St. Bartholomew’s Priory,St. Bartolomew’s Priory,STBA5, ,Prior of S. Bartlemewes | Priorie at S. Bartilmew | Priorie of S. Bartilmew | S. Bartilmewes in Smithfielde | S. Bartlmew | Saint Bartilmewes Priorie | St. Bartholomew’s Priory,Churches
5408,St. Batholomew by the Exchange,St. Bartholomew by the Exchange,STBA3,Agas Map,church of S. Bartilmew with the Hoſpitall | Church of Saint Bartilmew | S. Bartholmews church | S. Bartilmew | S. Bartilmew by the Exchaunge | St. Bartholomew | St. Bartholomew by the Exchange | St. Batholomew by the Exchange,Churches
5409,St. Batholomew by the Exchange parish,St. Batholomew by the Exchange (Parish),STBA103, ,Barthelmew at the Exch. | St. Batholomew by the Exchange parish,Parishes
5410,St. Benet Fink,St. Benet Fink,STBE2,Agas Map,Bennet Finke | Church of Saint Bennet | Church of Saynt Bennet | Finke | Pariſh Church of S. Bennet Finke | pariſh of S. Bennet Finke | S. Benet Fynke | S. Bennets church | Saint Bennets church | Saint Bennets pariſh | St. Benet Fink | St. Benet Fink Church,Churches
5411,St. Benet Fink Church,St. Benet Fink,STBE2,Agas Map,Bennet Finke | Church of Saint Bennet | Church of Saynt Bennet | Finke | Pariſh Church of S. Bennet Finke | pariſh of S. Bennet Finke | S. Benet Fynke | S. Bennets church | Saint Bennets church | Saint Bennets pariſh | St. Benet Fink | St. Benet Fink Church,Churches
5412,St. Benet Fink parish,St. Benet Fink (Parish),STBE102, ,bennet ffinke | Bennet Fincke | St. Benet Fink parish,Parishes
5413,St. Benet Gracechurch,St. Benet Gracechurch,STBE3,Agas Map,Church of Saint Bennet | Gariſh church f S. Bennet | Graſſe church | Graſſe Church | Graſſe Church in Lombardſtreet | raſſe church | S. Benet Graſſe church | St. Benet Gracechurch,Churches
5414,St. Benet Gracechurch parish,St. Benet Gracechurch (Parish),STBE103, ,bennet grace churche | Bennets Grace-Church | St. Benet Gracechurch parish,Parishes
5415,St. Benet Sherehog,St. Benet Sherehog,STBE4,Agas Map,"Bennet ſhorne (or Shrog, or Shorehogge) | Bennit ſhrog | Church of S. Sith | Pariſh church of S. Syth | S. Benet Shorhoge | S. Sithes church | S. Sithes Church | S. Sythes Church | St. Benet Sherehog | Syth",Churches
5416,St. Benet Sherehog parish,St. Benet Sherehog (Parish),STBE104, ,bennet sheroge | Bennets Sherhog | St. Benet Sherehog parish,Parishes
5417,"St. Benet, Paul’s Wharf",St. Benet (Paul’s Wharf),STBE1,Agas Map,"Church of Saint Benet hard by Pauls Wharfe | Lymehoſt | Lymehurſt | pariſh of S. Benet Huda | S. Benet Hude | S. Benet, Hude (or Hithe) | Saint Benet | Saint Bennets | St. Benet, Paul’s Wharf | St. Benet’s | St. Benet’s Curch, Paul’s Wharf",Churches
5418,"St. Benet, Paul’s Wharf parish",St. Benet (Paul’s Wharf) (Parish),STBE101, ,"bennet at powles wharfe | Bennets at Paules-wharfe | St. Benet, Paul’s Wharf parish",Parishes
5419,St. Benet’s,St. Benet (Paul’s Wharf),STBE1,Agas Map,"Church of Saint Benet hard by Pauls Wharfe | Lymehoſt | Lymehurſt | pariſh of S. Benet Huda | S. Benet Hude | S. Benet, Hude (or Hithe) | Saint Benet | Saint Bennets | St. Benet, Paul’s Wharf | St. Benet’s | St. Benet’s Curch, Paul’s Wharf",Churches
5420,"St. Benet’s Curch, Paul’s Wharf",St. Benet (Paul’s Wharf),STBE1,Agas Map,"Church of Saint Benet hard by Pauls Wharfe | Lymehoſt | Lymehurſt | pariſh of S. Benet Huda | S. Benet Hude | S. Benet, Hude (or Hithe) | Saint Benet | Saint Bennets | St. Benet, Paul’s Wharf | St. Benet’s | St. Benet’s Curch, Paul’s Wharf",Churches
5421,St. Boloph,St. Botolph (Aldersgate),STBO3,Agas Map,"Botolph Al derſgate Church | church of S. Butrolphe | Church of S. Butrolphe | S. Buttolph | S. Buttolphes church | St. Boloph | St. Bolotph | St. Botolph | St. Botolph, Aldersgate | St. Botolph’s Church",Churches
5422,St. Bolotph,St. Botolph (Aldersgate),STBO3,Agas Map,"Botolph Al derſgate Church | church of S. Butrolphe | Church of S. Butrolphe | S. Buttolph | S. Buttolphes church | St. Boloph | St. Bolotph | St. Botolph | St. Botolph, Aldersgate | St. Botolph’s Church",Churches
5423,St. Botolp,St. Botolph (Aldgate),STBO2,Agas Map,"Church of S. Buttolph | Church of S. Buttolphes | Church of Saint Battolphes | church of Saint Buttolph | S. Buttolph | S. Buttolphe | S. Buttolphes | Saint Buttolphe | St. Botolp | St. Botolph | St. Botolph (Aldgate) | St. Botolph without Aldgate | St. Botolph, Aldgate | St. Botolph-without-Aldgate",Churches
5424,St. Botolph,St. Botolph without Bishopsgate,STBO1,Agas Map,"Bethelem | Church of S. Buttolph | church of S. Buttolph | Church of S. Buttolph without Biſhopſgate | Hoſpitall of Bethelem | hoſpitall of Bethlem | Pariſh of S. Buttolph without Biſhopſgate | S. Buttolph without Biſhopſgate | S. Buttolphes church | S. Buttolphes without Biſhopſgate | S. Buttolphes. | St. Botolph | St. Botolph without Bishopsgate | St. Botolph, Aldgate | St. Botolph, Bishopsgate",Churches
5425,St. Botolph,St. Botolph (Aldgate),STBO2,Agas Map,"Church of S. Buttolph | Church of S. Buttolphes | Church of Saint Battolphes | church of Saint Buttolph | S. Buttolph | S. Buttolphe | S. Buttolphes | Saint Buttolphe | St. Botolp | St. Botolph | St. Botolph (Aldgate) | St. Botolph without Aldgate | St. Botolph, Aldgate | St. Botolph-without-Aldgate",Churches
5426,St. Botolph,St. Botolph (Aldersgate),STBO3,Agas Map,"Botolph Al derſgate Church | church of S. Butrolphe | Church of S. Butrolphe | S. Buttolph | S. Buttolphes church | St. Boloph | St. Bolotph | St. Botolph | St. Botolph, Aldersgate | St. Botolph’s Church",Churches
5427,St. Botolph (Aldgate),St. Botolph (Aldgate),STBO2,Agas Map,"Church of S. Buttolph | Church of S. Buttolphes | Church of Saint Battolphes | church of Saint Buttolph | S. Buttolph | S. Buttolphe | S. Buttolphes | Saint Buttolphe | St. Botolp | St. Botolph | St. Botolph (Aldgate) | St. Botolph without Aldgate | St. Botolph, Aldgate | St. Botolph-without-Aldgate",Churches
5428,St. Botolph without Aldgate,St. Botolph (Aldgate),STBO2,Agas Map,"Church of S. Buttolph | Church of S. Buttolphes | Church of Saint Battolphes | church of Saint Buttolph | S. Buttolph | S. Buttolphe | S. Buttolphes | Saint Buttolphe | St. Botolp | St. Botolph | St. Botolph (Aldgate) | St. Botolph without Aldgate | St. Botolph, Aldgate | St. Botolph-without-Aldgate",Churches
5429,St. Botolph without Bishopsgate,St. Botolph without Bishopsgate,STBO1,Agas Map,"Bethelem | Church of S. Buttolph | church of S. Buttolph | Church of S. Buttolph without Biſhopſgate | Hoſpitall of Bethelem | hoſpitall of Bethlem | Pariſh of S. Buttolph without Biſhopſgate | S. Buttolph without Biſhopſgate | S. Buttolphes church | S. Buttolphes without Biſhopſgate | S. Buttolphes. | St. Botolph | St. Botolph without Bishopsgate | St. Botolph, Aldgate | St. Botolph, Bishopsgate",Churches
5430,"St. Botolph, Aldersgate",St. Botolph (Aldersgate),STBO3,Agas Map,"Botolph Al derſgate Church | church of S. Butrolphe | Church of S. Butrolphe | S. Buttolph | S. Buttolphes church | St. Boloph | St. Bolotph | St. Botolph | St. Botolph, Aldersgate | St. Botolph’s Church",Churches
5431,"St. Botolph, Aldersgate parish",St. Botolph (Aldersgate) (Parish),STBO103, ,"Buttols without Alderſg | pariſh of S. Buttolph | St. Botolph, Aldersgate parish",Parishes
5432,"St. Botolph, Aldgate",St. Botolph without Bishopsgate,STBO1,Agas Map,"Bethelem | Church of S. Buttolph | church of S. Buttolph | Church of S. Buttolph without Biſhopſgate | Hoſpitall of Bethelem | hoſpitall of Bethlem | Pariſh of S. Buttolph without Biſhopſgate | S. Buttolph without Biſhopſgate | S. Buttolphes church | S. Buttolphes without Biſhopſgate | S. Buttolphes. | St. Botolph | St. Botolph without Bishopsgate | St. Botolph, Aldgate | St. Botolph, Bishopsgate",Churches
5433,"St. Botolph, Aldgate",St. Botolph (Aldgate),STBO2,Agas Map,"Church of S. Buttolph | Church of S. Buttolphes | Church of Saint Battolphes | church of Saint Buttolph | S. Buttolph | S. Buttolphe | S. Buttolphes | Saint Buttolphe | St. Botolp | St. Botolph | St. Botolph (Aldgate) | St. Botolph without Aldgate | St. Botolph, Aldgate | St. Botolph-without-Aldgate",Churches
5434,"St. Botolph, Aldgate parish","St. Botolph, Aldgate (Parish)",STBO102, ,"buttolphe at algate | Buttols Algate | St. Botolph, Aldgate parish",Parishes
5435,"St. Botolph, Billingsgate",St. Botolph (Billingsgate),STBO4,Agas Map,"church of S. Buttolph | pariſh of S. Buttolph | Parriſh Church of S. Buttolph | parriſh of S. Buttolph | S. Buttolphe by Billinſgate | St. Botolph, Billingsgate | St. Botolph’s | St. Botolph’s Church",Churches
5436,"St. Botolph, Billingsgate parish",St. Botolph (Billingsgate) (Parish),STBO104, ,"buttolphe at byllyngesgate | Buttols Billingsgate | St. Botolph, Billingsgate parish",Parishes
5437,"St. Botolph, Bishopsgate",St. Botolph without Bishopsgate,STBO1,Agas Map,"Bethelem | Church of S. Buttolph | church of S. Buttolph | Church of S. Buttolph without Biſhopſgate | Hoſpitall of Bethelem | hoſpitall of Bethlem | Pariſh of S. Buttolph without Biſhopſgate | S. Buttolph without Biſhopſgate | S. Buttolphes church | S. Buttolphes without Biſhopſgate | S. Buttolphes. | St. Botolph | St. Botolph without Bishopsgate | St. Botolph, Aldgate | St. Botolph, Bishopsgate",Churches
5438,"St. Botolph, Bishopsgate parish",St. Botolph (Bishopsgate) (Parish),STBO101, ,"buttolphe at busshippes gate | Buttols Biſhopſgate | St. Botolph, Bishopsgate parish",Parishes
5439,St. Botolph-without-Aldgate,St. Botolph (Aldgate),STBO2,Agas Map,"Church of S. Buttolph | Church of S. Buttolphes | Church of Saint Battolphes | church of Saint Buttolph | S. Buttolph | S. Buttolphe | S. Buttolphes | Saint Buttolphe | St. Botolp | St. Botolph | St. Botolph (Aldgate) | St. Botolph without Aldgate | St. Botolph, Aldgate | St. Botolph-without-Aldgate",Churches
5440,St. Botolph’s,St. Botolph (Billingsgate),STBO4,Agas Map,"church of S. Buttolph | pariſh of S. Buttolph | Parriſh Church of S. Buttolph | parriſh of S. Buttolph | S. Buttolphe by Billinſgate | St. Botolph, Billingsgate | St. Botolph’s | St. Botolph’s Church",Churches
5441,St. Botolph’s Church,St. Botolph (Aldersgate),STBO3,Agas Map,"Botolph Al derſgate Church | church of S. Butrolphe | Church of S. Butrolphe | S. Buttolph | S. Buttolphes church | St. Boloph | St. Bolotph | St. Botolph | St. Botolph, Aldersgate | St. Botolph’s Church",Churches
5442,St. Botolph’s Church,St. Botolph (Billingsgate),STBO4,Agas Map,"church of S. Buttolph | pariſh of S. Buttolph | Parriſh Church of S. Buttolph | parriſh of S. Buttolph | S. Buttolphe by Billinſgate | St. Botolph, Billingsgate | St. Botolph’s | St. Botolph’s Church",Churches
5443,St. Botolph’s Gate,Botolph’s Wharf,BOTO2,Agas Map,Botolph’s Wharf | Bottolph’s Wharf | Botulphiswharf | Buttolfe wharfe | Buttolphe W. | Buttolphes | Buttolphés wharfe | Common Key | kaiu[m] sncti Botulphi | St. Botolph’s Gate | St. Botolph’s Wharf,Riverside Features
5444,St. Botolph’s Wharf,Botolph’s Wharf,BOTO2,Agas Map,Botolph’s Wharf | Bottolph’s Wharf | Botulphiswharf | Buttolfe wharfe | Buttolphe W. | Buttolphes | Buttolphés wharfe | Common Key | kaiu[m] sncti Botulphi | St. Botolph’s Gate | St. Botolph’s Wharf,Riverside Features
5445,St. Bride,St. Bride,STBR1,Agas Map,Brydes | church of S. Bridget | S. Bride | S. Brides | S. Brides Church | S. Briget | St. Bride | St. Bride’s Church,Churches
5446,St. Bride parish,St. Bride (Parish),STBR101, ,Brides pariſh | brydes perryshe | St. Bride parish,Parishes
5447,St. Bride’s Church,St. Bride,STBR1,Agas Map,Brydes | church of S. Bridget | S. Bride | S. Brides | S. Brides Church | S. Briget | St. Bride | St. Bride’s Church,Churches
5448,St. Catherine Cree,St. Katherine Cree,STCA1,Agas Map,Church of S. Katherine | Pariſh church of S. Katherin Chriſts church | Priorie of the holy Trinitie | rine Chriſtes Church | S. Katharene Chriſts Church | S. Kathe | S. Katheren Chriſts church | S. Katherine | S. Katherine Chriſt Church | S. Katherines | Saint Katherine Chriſt church | St. Catherine Cree | St. Katharine Cree | St. Katheine Cree | St. Katherine | St. Katherine and the Blessed Trinity | St. Katherine Christ Church | St. Katherine Cree | St. Katherine Cree Church | St. Katherine’s,Churches
5449,St. Christopher [Broad Street],St. Christopher le Stocks,STCH1,Agas Map,Christopher le Stocks | Church of S. Chriſtopher | church of S. Chriſtopher | S. Chriſtopher | S. Chriſtopher by the ſtocks market | S. Chriſtophers Parriſh | St. Christopher [Broad Street] | St. Christopher in Bradestrete | St. Christopher le Stocks | St. Christopher near le Shambles | St. Christopher upon Cornhull,Churches
5450,St. Christopher Alley,St. Christopher’s Alley,CHRI4,Agas Map,S. Chriſtophers Alley | St. Christopher Alley | St. Christopher’s Alley,Streets
5451,St. Christopher in Bradestrete,St. Christopher le Stocks,STCH1,Agas Map,Christopher le Stocks | Church of S. Chriſtopher | church of S. Chriſtopher | S. Chriſtopher | S. Chriſtopher by the ſtocks market | S. Chriſtophers Parriſh | St. Christopher [Broad Street] | St. Christopher in Bradestrete | St. Christopher le Stocks | St. Christopher near le Shambles | St. Christopher upon Cornhull,Churches
5452,St. Christopher le Stocks,St. Christopher le Stocks,STCH1,Agas Map,Christopher le Stocks | Church of S. Chriſtopher | church of S. Chriſtopher | S. Chriſtopher | S. Chriſtopher by the ſtocks market | S. Chriſtophers Parriſh | St. Christopher [Broad Street] | St. Christopher in Bradestrete | St. Christopher le Stocks | St. Christopher near le Shambles | St. Christopher upon Cornhull,Churches
5453,St. Christopher le Stocks parish,St. Christopher le Stocks (Parish),STCH101, ,Chriſtophers Pariſ | Cristophers perryshe | St. Christopher le Stocks parish,Parishes
5454,St. Christopher near le Shambles,St. Christopher le Stocks,STCH1,Agas Map,Christopher le Stocks | Church of S. Chriſtopher | church of S. Chriſtopher | S. Chriſtopher | S. Chriſtopher by the ſtocks market | S. Chriſtophers Parriſh | St. Christopher [Broad Street] | St. Christopher in Bradestrete | St. Christopher le Stocks | St. Christopher near le Shambles | St. Christopher upon Cornhull,Churches
5455,St. Christopher upon Cornhull,St. Christopher le Stocks,STCH1,Agas Map,Christopher le Stocks | Church of S. Chriſtopher | church of S. Chriſtopher | S. Chriſtopher | S. Chriſtopher by the ſtocks market | S. Chriſtophers Parriſh | St. Christopher [Broad Street] | St. Christopher in Bradestrete | St. Christopher le Stocks | St. Christopher near le Shambles | St. Christopher upon Cornhull,Churches
5456,St. Christopher’s Alley,St. Christopher’s Alley,CHRI4,Agas Map,S. Chriſtophers Alley | St. Christopher Alley | St. Christopher’s Alley,Streets
5457,St. Clement,St. Clement Danes,STCL2,Agas Map,"Church of S. Clement | church of S. Clements | Pariſh church of S, Clement Danes | Pariſh church of S. Clement Danes | S. Clement Danes | S. Clementes church | Saint Clements church | St. Clement | St. Clement Danes",Churches
5458,St. Clement Danes,St. Clement Danes (Parish),STCL102, ,Clements without Templeh | St. Clement Danes | St. Clement Danes parish,Parishes
5459,St. Clement Danes,St. Clement Danes,STCL2,Agas Map,"Church of S. Clement | church of S. Clements | Pariſh church of S, Clement Danes | Pariſh church of S. Clement Danes | S. Clement Danes | S. Clementes church | Saint Clements church | St. Clement | St. Clement Danes",Churches
5460,St. Clement Danes parish,St. Clement Danes (Parish),STCL102, ,Clements without Templeh | St. Clement Danes | St. Clement Danes parish,Parishes
5461,"St. Clement, Eastcheap",St. Clement (Eastcheap),STCL3,Agas Map,"church of S. Clement in Eaſt cheape | church of S. Clement in weſt Cheape | S. Clements church | S. Clements Eaſtchepe | St. Clement, Eastcheap | St. Clement’s Church in the East",Churches
5462,"St. Clement, Eastcheap parish",St. Clement (Eastcheap) (Parish),STCL103, ,"Clements buy Eaſtcheape | Clemet bye eastchepe | St. Clement, Eastcheap parish",Parishes
5463,St. Clements Lane,St. Clements Lane,STCL1,Agas Map,S. Clements lane | St. Clements Lane | St. Clement’s Lane,Streets
5464,St. Clement’s Church in the East,St. Clement (Eastcheap),STCL3,Agas Map,"church of S. Clement in Eaſt cheape | church of S. Clement in weſt Cheape | S. Clements church | S. Clements Eaſtchepe | St. Clement, Eastcheap | St. Clement’s Church in the East",Churches
5465,St. Clement’s Lane,St. Clements Lane,STCL1,Agas Map,S. Clements lane | St. Clements Lane | St. Clement’s Lane,Streets
5466,St. Dionis Backchurch,St. Dionis Backchurch,STDI1,Agas Map,church of S. Diones | Church of S. Dionys called Back church | S. Denis | S. Dyones Backchurch | St. Dionis Backchurch,Churches
5467,St. Dionis Backchurch parish,St. Dionis Backchurch (Parish),STDI101, ,Denius backe churche | Dennis Back-Church | St. Dionis Backchurch parish,Parishes
5468,St. Dunstan,St. Dunstan in the West (Parish),STDU103, ,Dunſtones in the Weſt | Dunstonnes in the west | St. Dunstan | St. Dunstan in the West parish,Parishes
5469,St. Dunstan in the East,St. Dunstan in the East,STDU2,Agas Map,"Church of S , Dunſtone is called in the Eaſt | church of S. Dunſtone | Church of Saint Dunſtone | Church of Saint Dunstone in the East | Pariſh of S. Dunſtone | pariſh of S. Dunſtone in the Eaſt | S. Dunſtone in the eaſt | S. Dunſtone in the Eaſt | S. Dunſtones church | Saint Dunstans Church | Saint Dunſtans Church | St. Dunstan in the East | St. Dunstand in the East",Churches
5470,St. Dunstan in the East parish,St. Dunstan in the East (Parish),STDU102, ,Dunſtones in the Eaſt | Dunstonnes parreshe in the este | St. Dunstan in the East parish,Parishes
5471,St. Dunstan in the West,St. Dunstan in the West,STDU3,Agas Map,church of S. Dunſtan | Church of Saint Dnnſtones | S. Dunſtone in the Weſt | S. Dunſtones Chappell | S. Dunſtones church | S. Dunſtons chapell | S. Dunſtons chappell | S. Dunſtons in the weſt | Saint Dunstan’s in the West | Saint Dunſtons church | St. Dunstan in the West | St. Dunstan’s church | St. Dunstones church,Churches
5472,St. Dunstan in the West parish,St. Dunstan in the West (Parish),STDU103, ,Dunſtones in the Weſt | Dunstonnes in the west | St. Dunstan | St. Dunstan in the West parish,Parishes
5473,St. Dunstand in the East,St. Dunstan in the East,STDU2,Agas Map,"Church of S , Dunſtone is called in the Eaſt | church of S. Dunſtone | Church of Saint Dunſtone | Church of Saint Dunstone in the East | Pariſh of S. Dunſtone | pariſh of S. Dunſtone in the Eaſt | S. Dunſtone in the eaſt | S. Dunſtone in the Eaſt | S. Dunſtones church | Saint Dunstans Church | Saint Dunſtans Church | St. Dunstan in the East | St. Dunstand in the East",Churches
5474,St. Dunstanlane,St. Dunstan’s Lane,STDU5, ,Dunstoneslane | St. Dunstanlane,Streets
5475,St. Dunſtans Hill,St. Dunstan’s Hill,STDU1,Agas Map,Church lane in the west | Church Lane in the West | S. Donat Hill | S. Dunſtans hill | Saint Dunstans hill | Saint Dunſtans hill | St. Dunſtans Hill | St. Dunstan’s Hill,Streets
5476,St. Dunstan’s church,St. Dunstan in the West,STDU3,Agas Map,church of S. Dunſtan | Church of Saint Dnnſtones | S. Dunſtone in the Weſt | S. Dunſtones Chappell | S. Dunſtones church | S. Dunſtons chapell | S. Dunſtons chappell | S. Dunſtons in the weſt | Saint Dunstan’s in the West | Saint Dunſtons church | St. Dunstan in the West | St. Dunstan’s church | St. Dunstones church,Churches
5477,St. Dunstan’s Hill,St. Dunstan’s Hill,STDU1,Agas Map,Church lane in the west | Church Lane in the West | S. Donat Hill | S. Dunſtans hill | Saint Dunstans hill | Saint Dunſtans hill | St. Dunſtans Hill | St. Dunstan’s Hill,Streets
5478,St. Dunstan’s Stepney,St. Dunstan’s (Stepney),DUNS1, ,Pariſh of Stebunheth | St. Dunstan’s Stepney,Churches
5479,St. Dunstan’s Stepney parish,St. Dunstan’s Stepney (Parish),DUNS101, ,Parish of St. Dunstan’s Stepney | St. Dunstan’s Stepney parish,Parishes
5480,St. Dunstones church,St. Dunstan in the West,STDU3,Agas Map,church of S. Dunſtan | Church of Saint Dnnſtones | S. Dunſtone in the Weſt | S. Dunſtones Chappell | S. Dunſtones church | S. Dunſtons chapell | S. Dunſtons chappell | S. Dunſtons in the weſt | Saint Dunstan’s in the West | Saint Dunſtons church | St. Dunstan in the West | St. Dunstan’s church | St. Dunstones church,Churches
5481,St. Edmund,St. Edmund (Lombard Street),STED1,Agas Map,"church of S. Edmond | S. Edmond Graſſe church | S. Edmond in Lombardeſtréete | S. Edmonds in Lombard ſtreete | St. Edmund | St. Edmund, King and Martyr",Churches
